ref;value;Campo1;Campo2;Campo3;Campo4;Campo5;Campo6;Campo7;Campo8
BT1;3.7V Li-ion
C1;1uF
C2;680nF
C3;680nF
C4;20pF
C5;10pF
C6;100uF
C7;20pF
C8;100nF
C9;100nF
C10;NC
C11;680nF
C12;1uF
C13;20pF
C14;20pF
C15;100uF
C16;1pF
C17;1pF
C18;20pF
C19;100nF
C21;1uF
C22;10uF
C23;470pF
C24;1uF
C25;1uF
C26;100uF
C27;100uF
C28;10nF
C29;10nF
C30;1uF
D1;BAP64-04;626-1734
D2;BAP64-04;626-1734
D3;BAP64-04;626-1734
D4;BAT48;687-0852
D5;redLED
D6;BAT48;687-0852
D7;DFLZ6V2;751-4032
D8;BBY53;752-7899
D9;BBY53;752-7899
D10;1N5819;708-2197
D12;1N5817;625-4972
D13;1N5817;625-4972
D14;1N5817;625-4972
D15;1N5817;625-4972
ECG1;1
ECG2;1
IC1;ATMEGA328P-A
J1;USB_2;772-6778
L1;1µH;254-7040
L2;BLM18AG121SN1D;202-3550
L3;INDUCTOR
P1;belt
P2;TMP100
P3;S1
P16;progr
P18;LCD_NOKIA
Q2;NDS0610;671-1074
Q3;MMBF170;708-2393
R1;10k
R2;120k
R3;10k
R4;1M
R5;180k
R6;390
R7;1M
R8;1M
R9;100k
R10;10k
R11;33k
R14;33k
R15;33k
R16;2M
R17;33k
R18;NC
R19;3.3k
R20;1.5k
R21;40k
R22;200
R23;422k
R24;422k
R25;1050
R26;1050
R28;NC
R29;3.3k
SD1;DM3BT;738-8818
SW1;SWITCH_INV;747-5007
SW_Green1;SW_PUSH
SW_Red1;SW_PUSH
U1;MAX21000
U2;LT1496
U3;BLUETOOTH
U4;LTC1844
U5;LTC4053EMSE-4.2
U6;EB-365
